term,document_count_score,document_count
de,5221,5221
la,4744,4744
el,4530,4530
en,4390,4390
que,4158,4158
los,3369,3369
del,3128,3128
un,3080,3080
se,2933,2933
por,2924,2924
las,2763,2763
una,2684,2684
con,2591,2591
par,2589,2589
ha,2344,2344
al,2300,2300
no,2268,2268
su,2204,2204
es,2155,2155
com,1875,1875
este,1796,1796
lo,1788,1788
mas,1762,1762
esta,1668,1668
tod,1512,1512
sus,1267,1267
per,1214,1214
ser,1210,1210
si,1206,1206
hac,1166,1166
pas,1133,1133
sin,1128,1128
part,1104,1104
han,1100,1100
ya,1083,1083
anos,1082,1082
segun,1009,1009
tien,983,983
pued,980,980
le,972,972
nuev,966,966
cas,960,960
desd,949,949
entre,942,942
fue,942,942
tambi,938,938
sol,931,931
cuand,901,901
son,900,900
person,889,889
sobr,868,868
hay,834,834
hast,822,822
public,818,818
pais,784,784
lleg,779,779
much,778,778
dos,763,763
inform,756,756
gobiern,754,754
asi,750,750
durant,740,740
porqu,733,733
estad,725,725
primer,717,717
contr,704,704
president,704,704
ano,699,699
tras,696,696
dond,677,677
ultim,673,673
algun,667,667
ten,666,666
trabaj,650,650
medi,649,649
mism,644,644
pod,639,639
despu,630,630
ahor,624,624
llev,623,623
sid,620,620
muy,618,618
dej,618,618
uno,613,613
social,607,607
mes,600,600
deb,597,597
nacional,596,596
mund,595,595
sab,585,585
adem,584,584
dia,583,583
cad,578,578
habi,574,574
conoc,572,572
vari,567,567
otros,565,565
cre,565,565
seman,562,562
vez,561,561
